Simulation Number	Main Iteration	Sub Iteration	Step Number	f(x)	x1	x2
33	9	7	1	0.0025	0.05	0.0	Cost not reduced at x1+dx1.
33	9	8	1	0.0025	0.0	-0.05	Cost not reduced at x2-dx2.
33	9	9	1	0.0025	0.0	0.05	Cost not reduced at x2+dx2.
27	9	10	1	0.0	0.0	0.0	Iteration step did not reduce cost. Reduce step size to '0.5'.
33	10	1	1	0.0	0.0	0.0	Exploration base, Delta = 0.5.
34	10	2	1	6.25E-4	-0.025	0.0	Cost not reduced at x1-dx1.
35	10	3	1	6.25E-4	0.025	0.0	Cost not reduced at x1+dx1.
36	10	4	1	6.25E-4	0.0	-0.025	Cost not reduced at x2-dx2.
37	10	5	1	6.25E-4	0.0	0.025	Cost not reduced at x2+dx2.
37	10	6	1	6.25E-4	-0.025	0.0	Cost not reduced at x1-dx1.
37	10	7	1	6.25E-4	0.025	0.0	Cost not reduced at x1+dx1.
37	10	8	1	6.25E-4	0.0	-0.025	Cost not reduced at x2-dx2.
37	10	9	1	6.25E-4	0.0	0.025	Cost not reduced at x2+dx2.
27	10	10	1	0.0	0.0	0.0	Iteration step did not reduce cost. Reduce step size to '0.25'.
37	11	1	1	0.0	0.0	0.0	Exploration base, Delta = 0.25.
38	11	2	1	1.5625E-4	-0.0125	0.0	Cost not reduced at x1-dx1.
39	11	3	1	1.5625E-4	0.0125	0.0	Cost not reduced at x1+dx1.
40	11	4	1	1.5625E-4	0.0	-0.0125	Cost not reduced at x2-dx2.
41	11	5	1	1.5625E-4	0.0	0.0125	Cost not reduced at x2+dx2.
41	11	6	1	1.5625E-4	-0.0125	0.0	Cost not reduced at x1-dx1.
41	11	7	1	1.5625E-4	0.0125	0.0	Cost not reduced at x1+dx1.
41	11	8	1	1.5625E-4	0.0	-0.0125	Cost not reduced at x2-dx2.
41	11	9	1	1.5625E-4	0.0	0.0125	Cost not reduced at x2+dx2.
27	11	10	1	0.0	0.0	0.0	Iteration step did not reduce cost. Reduce step size to '0.125'.
41	12	1	1	0.0	0.0	0.0	Exploration base, Delta = 0.125.
42	12	2	1	3.90625E-5	-0.00625	0.0	Cost not reduced at x1-dx1.
43	12	3	1	3.90625E-5	0.00625	0.0	Cost not reduced at x1+dx1.
44	12	4	1	3.90625E-5	0.0	-0.00625	Cost not reduced at x2-dx2.
45	12	5	1	3.90625E-5	0.0	0.00625	Cost not reduced at x2+dx2.
45	12	6	1	3.90625E-5	-0.00625	0.0	Cost not reduced at x1-dx1.
45	12	7	1	3.90625E-5	0.00625	0.0	Cost not reduced at x1+dx1.
45	12	8	1	3.90625E-5	0.0	-0.00625	Cost not reduced at x2-dx2.
45	12	9	1	3.90625E-5	0.0	0.00625	Cost not reduced at x2+dx2.
27	12	10	1	0.0	0.0	0.0	Iteration step did not reduce cost. Reduce step size to '0.0625'.
45	13	1	1	0.0	0.0	0.0	Exploration base, Delta = 0.0625.
46	13	2	1	9.765625E-6	-0.003125	0.0	Cost not reduced at x1-dx1.
47	13	3	1	9.765625E-6	0.003125	0.0	Cost not reduced at x1+dx1.
48	13	4	1	9.765625E-6	0.0	-0.003125	Cost not reduced at x2-dx2.
49	13	5	1	9.765625E-6	0.0	0.003125	Cost not reduced at x2+dx2.
49	13	6	1	9.765625E-6	-0.003125	0.0	Cost not reduced at x1-dx1.
49	13	7	1	9.765625E-6	0.003125	0.0	Cost not reduced at x1+dx1.
49	13	8	1	9.765625E-6	0.0	-0.003125	Cost not reduced at x2-dx2.
49	13	9	1	9.765625E-6	0.0	0.003125	Cost not reduced at x2+dx2.
27	13	10	1	0.0	0.0	0.0	Iteration step did not reduce cost. Maximum number of step reductions reached.
27	13	11	1	0.0	0.0	0.0	Minimum point.
